company,weeks_total,weeks_with_sentiment,weeks_with_mention_gt0,rows_ok_L1,rows_ok_L2,rows_ok_L3,rows_ok_L4,weeks_with_sentiment_share,weeks_with_mention_gt0_share,rows_ok_L1_share,rows_ok_L2_share,rows_ok_L3_share,rows_ok_L4_share
kia,106,65,65,38,25,18,12,0.6132075471698113,0.6132075471698113,0.3584905660377358,0.2358490566037736,0.16981132075471697,0.11320754716981132
ferrari,106,46,46,35,25,18,12,0.4339622641509434,0.4339622641509434,0.330188679245283,0.2358490566037736,0.16981132075471697,0.11320754716981132
sap,106,66,66,45,31,20,10,0.6226415094339622,0.6226415094339622,0.42452830188679247,0.29245283018867924,0.18867924528301888,0.09433962264150944
salesforce,106,64,64,42,27,18,10,0.6037735849056604,0.6037735849056604,0.39622641509433965,0.25471698113207547,0.16981132075471697,0.09433962264150944
honda,106,42,42,29,20,13,8,0.39622641509433965,0.39622641509433965,0.27358490566037735,0.18867924528301888,0.12264150943396226,0.07547169811320754
paypal,106,57,57,33,20,12,7,0.5377358490566038,0.5377358490566038,0.3113207547169811,0.18867924528301888,0.11320754716981132,0.0660377358490566
ups,106,48,48,24,10,6,5,0.4528301886792453,0.4528301886792453,0.22641509433962265,0.09433962264150944,0.05660377358490566,0.04716981132075472
lego,106,69,69,43,25,12,5,0.6509433962264151,0.6509433962264151,0.4056603773584906,0.2358490566037736,0.11320754716981132,0.04716981132075472
budweiser,106,34,34,21,12,8,5,0.32075471698113206,0.32075471698113206,0.19811320754716982,0.11320754716981132,0.07547169811320754,0.04716981132075472
mastercard,106,47,47,21,11,6,4,0.44339622641509435,0.44339622641509435,0.19811320754716982,0.10377358490566038,0.05660377358490566,0.03773584905660377
kellogs,106,58,58,30,13,6,3,0.5471698113207547,0.5471698113207547,0.2830188679245283,0.12264150943396226,0.05660377358490566,0.02830188679245283
cartier,106,37,37,23,14,7,2,0.3490566037735849,0.3490566037735849,0.2169811320754717,0.1320754716981132,0.0660377358490566,0.018867924528301886
sony,106,43,43,14,5,3,1,0.4056603773584906,0.4056603773584906,0.1320754716981132,0.04716981132075472,0.02830188679245283,0.009433962264150943
mercedesbenz,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
redbull,106,1,1,0,0,0,0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.0
audi,106,27,27,13,7,2,0,0.25471698113207547,0.25471698113207547,0.12264150943396226,0.0660377358490566,0.018867924528301886,0.0
xiaomi,106,17,17,3,1,0,0,0.16037735849056603,0.16037735849056603,0.02830188679245283,0.009433962264150943,0.0,0.0
canon,106,3,3,0,0,0,0,0.02830188679245283,0.02830188679245283,0.0,0.0,0.0,0.0
colgate,106,20,20,6,1,0,0,0.18867924528301888,0.18867924528301888,0.05660377358490566,0.009433962264150943,0.0,0.0
corona,106,12,12,4,0,0,0,0.11320754716981132,0.11320754716981132,0.03773584905660377,0.0,0.0,0.0
danone,106,5,5,0,0,0,0,0.04716981132075472,0.04716981132075472,0.0,0.0,0.0,0.0
dhl,106,9,9,1,0,0,0,0.08490566037735849,0.08490566037735849,0.009433962264150943,0.0,0.0,0.0
sephora,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
fedex,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
gillette,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
heineken,106,8,8,0,0,0,0,0.07547169811320754,0.07547169811320754,0.0,0.0,0.0,0.0
henessy,106,23,23,10,4,2,0,0.2169811320754717,0.2169811320754717,0.09433962264150944,0.03773584905660377,0.018867924528301886,0.0
mcdonalds,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
hennessy,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
pepsi,106,51,51,24,9,1,0,0.4811320754716981,0.4811320754716981,0.22641509433962265,0.08490566037735849,0.009433962264150943,0.0
hp,106,16,16,7,2,0,0,0.1509433962264151,0.1509433962264151,0.0660377358490566,0.018867924528301886,0.0,0.0
panasonic,106,16,16,2,0,0,0,0.1509433962264151,0.1509433962264151,0.018867924528301886,0.0,0.0,0.0
pampers,106,6,6,2,1,0,0,0.05660377358490566,0.05660377358490566,0.018867924528301886,0.009433962264150943,0.0,0.0
ikea,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
jackdaniels,106,8,8,0,0,0,0,0.07547169811320754,0.07547169811320754,0.0,0.0,0.0,0.0
kelloggs,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
kfc,106,40,40,19,7,2,0,0.37735849056603776,0.37735849056603776,0.1792452830188679,0.0660377358490566,0.018867924528301886,0.0
lorealparis,106,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
luisvuttion,106,7,7,0,0,0,0,0.0660377358490566,0.0660377358490566,0.0,0.0,0.0,0.0
nespresso,106,12,12,0,0,0,0,0.11320754716981132,0.11320754716981132,0.0,0.0,0.0,0.0
nescafe,106,2,2,0,0,0,0,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0
zara,106,38,38,12,3,0,0,0.3584905660377358,0.3584905660377358,0.11320754716981132,0.02830188679245283,0.0,0.0
