company,week_start,nyt_pos_share,nyt_neu_share,nyt_neg_share,NYT_mention,nyt_sentiment,nyt_non_neutral_share,num_memes,mean_meme_sentiment,meme_spike,nyt_sentiment_L1,nyt_sentiment_L2,nyt_sentiment_L3,nyt_sentiment_L4,nyt_pos_share_L1,nyt_pos_share_L2,nyt_pos_share_L3,nyt_pos_share_L4,nyt_neg_share_L1,nyt_neg_share_L2,nyt_neg_share_L3,nyt_neg_share_L4,nyt_non_neutral_share_L1,nyt_non_neutral_share_L2,nyt_non_neutral_share_L3,nyt_non_neutral_share_L4,NYT_mention_L1,NYT_mention_L2,NYT_mention_L3,NYT_mention_L4,num_memes_z,num_memes_rel,meme_engagement,log1p_meme_volume,log1p_meme_engagement,iso_year,iso_week,num_memes_L1,num_memes_L2,num_memes_L3,num_memes_L4,mean_meme_sentiment_L1,mean_meme_sentiment_L2,mean_meme_sentiment_L3,mean_meme_sentiment_L4,meme_engagement_L1,meme_engagement_L2,meme_engagement_L3,meme_engagement_L4
adidas,2023-06-26,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,26,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-07-03,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,27,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-07-10,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,28,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-07-17,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,29,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-07-24,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,30,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-07-31,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,31,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-08-07,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,32,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-08-14,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,33,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-08-21,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,34,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-08-28,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,35,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-09-04,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,36,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-09-11,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,37,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-09-18,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,38,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-09-25,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,39,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-10-02,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.6931471805599453,0.0,0.5265890341390445,2023,40,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-10-09,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,41,0.0,0.0,0.0,0.0,,,,,0.6931471805599453,,,
adidas,2023-10-16,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,42,0.0,0.0,0.0,0.0,,,,,,0.6931471805599453,,
adidas,2023-10-23,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,43,0.0,0.0,0.0,0.0,,,,,,,0.6931471805599453,
adidas,2023-10-30,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,44,0.0,0.0,0.0,0.0,,,,,,,,0.6931471805599453
adidas,2023-11-06,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,45,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-11-13,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,46,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-11-20,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,47,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-11-27,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,48,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-12-04,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,49,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-12-11,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,50,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-12-18,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,51,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2023-12-25,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2023,52,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-01-01,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,1,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-01-08,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,2,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-01-15,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,3,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-01-22,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,4,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-01-29,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,5,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-02-05,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,6,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-02-12,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,7,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-02-19,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,8,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-02-26,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,9,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-03-04,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,10,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-03-11,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,11,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-03-18,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,12,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-03-25,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,13,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-04-01,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,14,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-04-08,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,15,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-04-15,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,16,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-04-22,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,17,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-04-29,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,18,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-05-06,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,19,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-05-13,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,20,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-05-20,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,21,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-05-27,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,22,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-06-03,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,23,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-06-10,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,24,0.0,0.0,0.0,0.0,,,,,,,,
adidas,2024-06-17,,,,0,,,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,2024,25,0.0,0.0,0.0,0.0,,,,,,,,
