outcome,predictor,lag,coef,se,pval
log1p_meme_engagement,NYT_mention,0,-0.003283453993985043,0.0024830270426111824,0.18604852255338944
log1p_meme_engagement,NYT_mention,1,0.0031630190613667272,0.0022544556333637267,0.1606144835124712
log1p_meme_engagement,NYT_mention,2,0.0020086266482954645,0.003067311837919303,0.5125648615687909
log1p_meme_engagement,nyt_sentiment,0,-0.03097596152002452,0.02918581349067521,0.28853712227731454
log1p_meme_engagement,nyt_sentiment,1,-0.007139754463788955,0.025323213276572706,0.7779856504093816
log1p_meme_engagement,nyt_sentiment,2,-0.03553767534345125,0.028586985699847096,0.21381560437736225
log1p_meme_volume,NYT_mention,0,-0.0045862053303838655,0.0022151892308164304,0.038420074464555705
log1p_meme_volume,NYT_mention,1,0.002809871144938557,0.002038125805018499,0.16800132977709836
log1p_meme_volume,NYT_mention,2,0.0004725137742616443,0.002327470624725949,0.8391225271290759
log1p_meme_volume,nyt_sentiment,0,-0.006427238071396111,0.025457011344017184,0.8006745689601191
log1p_meme_volume,nyt_sentiment,1,-0.01202848610269193,0.024678919091615795,0.6259754408330547
log1p_meme_volume,nyt_sentiment,2,-0.032720413859444825,0.02486561085720179,0.18821089557632986
