outcome,predictor,lag,coef,se,pval
log1p_meme_engagement,NYT_mention,0,-0.003269333798388154,0.0023007055207523415,0.1553128103324767
log1p_meme_engagement,NYT_mention,1,0.003559861101516254,0.0022426162715142293,0.11242893929824638
log1p_meme_engagement,nyt_sentiment,0,-0.023005782127003115,0.021957390656236163,0.29475535618047655
log1p_meme_engagement,nyt_sentiment,1,-0.0038687402924675526,0.022742374678120774,0.864922421202243
log1p_meme_volume,NYT_mention,0,-0.004506707606033046,0.00220953197830304,0.041383587558713006
log1p_meme_volume,NYT_mention,1,0.0031943027942310308,0.0022098262924615856,0.14831763419181299
log1p_meme_volume,nyt_sentiment,0,0.003114797354899352,0.018988242773659188,0.8697010640137238
log1p_meme_volume,nyt_sentiment,1,0.014149711347162674,0.01794676945113106,0.4304471865239231
