company,week_start,mean_pos,mean_neu,mean_neg,NYT_mention,sentiment_score,non_neutral_share,num_memes,mean_meme_sentiment,meme_engagement,meme_spike
adidas,2023-01-02,0.0007553158793598413,0.49927943492366467,0.49996526911854744,1,-0.4992099532391876,0.5007205650763353,0,,,
adidas,2023-01-16,0.0013666467866021693,0.9159495661465021,0.08268379252828922,2,-0.08131714574168705,0.08405043385349786,0,,,
adidas,2023-01-23,0.00013910687336426975,0.999765619635582,9.532193757877394e-05,2,4.3784935785495804e-05,0.00023438036441802979,0,,,
adidas,2023-01-30,0.0006172408462135071,0.8330609574913979,0.16632180779006944,4,-0.16570456694385594,0.16693904250860214,0,,,
adidas,2023-02-06,0.11734003313832349,0.8772080903872848,0.005451914709775944,8,0.11188811842854754,0.12279190961271524,0,,,
adidas,2023-02-13,9.048217179952189e-07,0.9999898672103882,9.156337000604253e-06,1,-8.251515282609034e-06,1.0132789611816406e-05,0,,,
adidas,2023-02-20,1.6051180864451453e-05,0.07451216876506805,0.925471842288971,1,-0.9254557911081065,0.925487831234932,0,,,
adidas,2023-03-06,0.04924113477131956,0.849204991099726,0.10155392546456697,4,-0.05231279069324741,0.15079500890027397,0,,,
adidas,2023-03-13,1.3883271094528027e-05,0.3072264790534973,0.69275963306427,1,-0.6927457497931755,0.6927735209465027,0,,,
adidas,2023-03-20,0.00012306307276143495,0.8372147262096404,0.16266219831587705,3,-0.1625391352431156,0.16278527379035956,0,,,
adidas,2023-03-27,0.00011433959930151616,0.9940706342458725,0.005815018325968424,1,-0.005700678726666908,0.0059293657541275024,0,,,
adidas,2023-04-03,3.30406393800331e-07,0.9999906420707703,8.975448622550175e-06,2,-8.645042228749844e-06,9.357929229736328e-06,0,,,
adidas,2023-04-10,0.006418119856803628,0.3947540694186955,0.5988277953324541,2,-0.5924096754756505,0.6052459305813045,0,,,
adidas,2023-04-17,1.3341818998924282e-05,0.5601399950683117,0.43984666079632007,2,-0.43983331897732114,0.4398600049316883,0,,,
adidas,2023-04-24,0.9999932050704956,6.622483169849147e-06,1.7055251078090805e-07,2,0.9999930345179848,0.9999933775168302,0,,,
adidas,2023-05-01,2.73229210563386e-06,0.8525425758859455,0.1474547254648087,5,-0.14745199317270308,0.1474574241140545,0,,,
adidas,2023-05-08,0.12541609551128374,0.8723715866605442,0.0022123153383593794,2,0.12320378017292437,0.12762841333945585,0,,,
adidas,2023-05-15,5.454247968827985e-07,0.5001186063527712,0.49988090247853734,2,-0.49988035705374045,0.49988139364722883,0,,,
adidas,2023-05-22,1.3334200730241719e-06,0.9999960660934448,2.6326790703024017e-06,1,-1.2992589972782298e-06,3.933906555175781e-06,0,,,
adidas,2023-05-29,0.16744926793113074,0.7798743035052396,0.05267643250191308,5,0.11477283542921765,0.22012569649476044,0,,,
adidas,2023-06-05,0.18158651023077255,0.8182891413586427,0.00012435109247851037,3,0.18146215913829403,0.18171085864135728,0,,,
adidas,2023-06-12,0.0010751393480660453,0.7984809239789683,0.20044391838316641,5,-0.19936877903510036,0.2015190760210317,0,,,
adidas,2023-06-19,2.775779766039932e-07,0.5000049242521527,0.49999479457937923,2,-0.4999945170014026,0.4999950757478473,0,,,
adidas,2023-06-26,4.897229763400901e-05,0.99513840675354,0.004812601132698546,2,-0.004763628835064537,0.004861593246459961,0,,,
adidas,2023-07-03,0.01742810709401965,0.08192889392375946,0.9006430208683014,2,-0.8832149137742817,0.9180711060762405,0,,,
adidas,2023-07-17,0.04014537272924912,0.9598010703921318,5.35846990032951e-05,4,0.04009178803024582,0.040198929607868195,0,,,
adidas,2023-07-24,0.4999893133144724,0.25106125708758853,0.24894944450563994,1,0.25103986880883244,0.7489387429124115,0,,,
