outcome,predictor,lag,coef,se,pval
log1p_meme_engagement,NYT_mention,0,-0.004218354635575373,0.002103896466297743,0.044960901704266525
log1p_meme_engagement,NYT_mention,1,0.00021255909750081316,0.0014400390852732437,0.8826533424355578
log1p_meme_engagement,NYT_mention,2,-0.0013043283113929522,0.0016420735973770193,0.4270104355955118
log1p_meme_engagement,NYT_mention,3,-0.005727569835248939,0.0010140102917744862,1.6191633735996413e-08
log1p_meme_volume,NYT_mention,0,-0.005680132541914849,0.0016955623446224344,0.0008081178621990769
log1p_meme_volume,NYT_mention,1,-0.0014432858553090917,0.0014293090643761179,0.3126013250666252
log1p_meme_volume,NYT_mention,2,-0.003226137250026675,0.0011944575810499754,0.006914746752259253
log1p_meme_volume,NYT_mention,3,-0.0069600398832568525,0.0020972306432487735,0.000904436252063118
