company,week_start,mean_pos,mean_neu,mean_neg,NYT_mention,sentiment_score,non_neutral_share,num_memes,mean_meme_sentiment,meme_engagement,meme_spike
adidas,2023-01-02,0.0007553158793598,0.4992794349236646,0.4999652691185474,1,-0.4992099532391876,0.5007205650763353,0,,,
adidas,2023-01-16,0.0013666467866021,0.915949566146502,0.0826837925282892,2,-0.081317145741687,0.0840504338534978,0,,,
adidas,2023-01-23,0.0001391068733642,0.999765619635582,9.532193757877394e-05,2,4.378493578549581e-05,0.000234380364418,0,,,
adidas,2023-01-30,0.0006172408462135,0.8330609574913979,0.1663218077900694,4,-0.1657045669438559,0.1669390425086021,0,,,
adidas,2023-02-06,0.1173400331383234,0.8772080903872848,0.0054519147097759,8,0.1118881184285475,0.1227919096127152,0,,,
adidas,2023-02-13,9.048217179952188e-07,0.9999898672103882,9.156337000604252e-06,1,-8.251515282609034e-06,1.0132789611816406e-05,0,,,
adidas,2023-02-20,1.6051180864451453e-05,0.074512168765068,0.925471842288971,1,-0.9254557911081064,0.925487831234932,0,,,
adidas,2023-03-06,0.0492411347713195,0.849204991099726,0.1015539254645669,4,-0.0523127906932474,0.1507950089002739,0,,,
adidas,2023-03-13,1.3883271094528029e-05,0.3072264790534973,0.69275963306427,1,-0.6927457497931755,0.6927735209465027,0,,,
adidas,2023-03-20,0.0001230630727614,0.8372147262096404,0.162662198315877,3,-0.1625391352431156,0.1627852737903595,0,,,
adidas,2023-03-27,0.0001143395993015,0.9940706342458724,0.0058150183259684,1,-0.0057006787266669,0.0059293657541275,0,,,
adidas,2023-04-03,3.30406393800331e-07,0.9999906420707704,8.975448622550175e-06,2,-8.645042228749844e-06,9.357929229736328e-06,0,,,
adidas,2023-04-10,0.0064181198568036,0.3947540694186955,0.5988277953324541,2,-0.5924096754756505,0.6052459305813045,0,,,
adidas,2023-04-17,1.3341818998924282e-05,0.5601399950683117,0.43984666079632,2,-0.4398333189773211,0.4398600049316883,0,,,
adidas,2023-04-24,0.9999932050704956,6.622483169849147e-06,1.7055251078090805e-07,2,0.9999930345179848,0.9999933775168302,0,,,
adidas,2023-05-01,2.73229210563386e-06,0.8525425758859455,0.1474547254648087,5,-0.147451993172703,0.1474574241140545,0,,,
adidas,2023-05-08,0.1254160955112837,0.8723715866605442,0.0022123153383593,2,0.1232037801729243,0.1276284133394558,0,,,
adidas,2023-05-15,5.454247968827985e-07,0.5001186063527712,0.4998809024785373,2,-0.4998803570537404,0.4998813936472288,0,,,
adidas,2023-05-22,1.333420073024172e-06,0.9999960660934448,2.6326790703024017e-06,1,-1.2992589972782298e-06,3.933906555175781e-06,0,,,
adidas,2023-05-29,0.1674492679311307,0.7798743035052396,0.052676432501913,5,0.1147728354292176,0.2201256964947604,0,,,
adidas,2023-06-05,0.1815865102307725,0.8182891413586427,0.0001243510924785,3,0.181462159138294,0.1817108586413572,0,,,
adidas,2023-06-12,0.001075139348066,0.7984809239789683,0.2004439183831664,5,-0.1993687790351003,0.2015190760210317,0,,,
adidas,2023-06-19,2.775779766039932e-07,0.5000049242521527,0.4999947945793792,2,-0.4999945170014026,0.4999950757478473,0,,,
adidas,2023-06-26,4.897229763400901e-05,0.99513840675354,0.0048126011326985,2,-0.0047636288350645,0.0048615932464599,0,,,
adidas,2023-07-03,0.0174281070940196,0.0819288939237594,0.9006430208683014,2,-0.8832149137742817,0.9180711060762404,0,,,
adidas,2023-07-17,0.0401453727292491,0.9598010703921318,5.35846990032951e-05,4,0.0400917880302458,0.0401989296078681,0,,,
adidas,2023-07-24,0.4999893133144724,0.2510612570875885,0.2489494445056399,1,0.2510398688088324,0.7489387429124115,0,,,
adidas,2023-07-31,0.0551291921971273,0.8888815414642747,0.0559892363659902,3,-0.0008600441688629,0.1111184585357253,0,,,
adidas,2023-08-07,0.0999977078878998,0.7972992887729788,0.1027030336447737,5,-0.0027053257568738,0.2027007112270211,0,,,
adidas,2023-08-14,9.761393991780665e-06,0.9157282133577004,0.0842620562020215,4,-0.0842522948080297,0.0842717866422996,0,,,
adidas,2023-08-21,4.252603374984195e-05,0.9990242371956508,0.0009332679888321,4,-0.0008907419550823,0.0009757628043493,0,,,
adidas,2023-08-28,5.0733305556605046e-08,0.999991536140442,8.432959475612734e-06,1,-8.382226170056128e-06,8.463859558105469e-06,0,,,
adidas,2023-09-04,3.425677164159424e-07,0.9999985694885254,1.0292327488059527e-06,1,-6.866650323900103e-07,1.430511474609375e-06,0,,,
adidas,2023-09-11,9.801117459851127e-06,0.9999631643295288,2.7052158581379142e-05,2,-1.7251041121528015e-05,3.6835670471191406e-05,0,,,
adidas,2023-09-18,3.0412383207334415e-06,0.8625028729438782,0.1374940599917522,4,-0.1374910187534315,0.1374971270561218,0,,,
adidas,2023-10-02,,,,0,,,1,-0.3821562013663424,0.6931471805599453,0.0
adidas,2023-10-23,0.1349925014845954,0.7238906523001623,0.1411168577156346,4,-0.0061243562310391,0.2761093476998377,0,,,
adidas,2023-10-30,0.2680219259906669,0.7229671785211343,0.0090108817302176,3,0.2590110442604493,0.2770328214788656,0,,,
adidas,2023-11-06,8.445289040537318e-06,0.9316325187683104,0.0683590054218257,1,-0.0683505601327851,0.0683674812316894,0,,,
adidas,2023-11-13,0.0265621153114865,0.8999314249027878,0.0735064710266,3,-0.0469443557151135,0.1000685750972122,0,,,
adidas,2023-12-11,0.000364360428648,0.9977585077285768,0.0018771290779113,1,-0.0015127686492633,0.0022414922714233,0,,,
