company,week_start,mean_pos,mean_neu,mean_neg,NYT_mention,sentiment_score,non_neutral_share,num_memes,mean_meme_sentiment,meme_engagement,meme_spike,log1p_meme_volume,log1p_meme_engagement,iso_year,iso_week,sentiment_score_L1,sentiment_score_L2,sentiment_score_L3,sentiment_score_L4,mean_pos_L1,mean_pos_L2,mean_pos_L3,mean_pos_L4,mean_neg_L1,mean_neg_L2,mean_neg_L3,mean_neg_L4,non_neutral_share_L1,non_neutral_share_L2,non_neutral_share_L3,non_neutral_share_L4,NYT_mention_L1,NYT_mention_L2,NYT_mention_L3,NYT_mention_L4,num_memes_L1,num_memes_L2,num_memes_L3,num_memes_L4,mean_meme_sentiment_L1,mean_meme_sentiment_L2,mean_meme_sentiment_L3,mean_meme_sentiment_L4,meme_engagement_L1,meme_engagement_L2,meme_engagement_L3,meme_engagement_L4,num_memes_z,num_memes_rel
adidas,2022-12-26,,,,0,,,0,,,,0.0,0.0,2022,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
adidas,2023-01-02,0.0007553158793598,0.4992794349236646,0.4999652691185474,1,-0.4992099532391876,0.5007205650763353,0,,,,0.0,0.0,2023,1,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,1.0
adidas,2023-01-09,,,,0,,,0,,,,0.0,0.0,2023,2,-0.4992099532391876,,,,0.0007553158793598,,,,0.4999652691185474,,,,0.5007205650763353,,,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,0.0,1.0
adidas,2023-01-16,0.0013666467866021,0.915949566146502,0.0826837925282892,2,-0.081317145741687,0.0840504338534978,0,,,,0.0,0.0,2023,3,,-0.4992099532391876,,,,0.0007553158793598,,,,0.4999652691185474,,,,0.5007205650763353,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,1.0
adidas,2023-01-23,0.0001391068733642,0.999765619635582,9.532193757877394e-05,2,4.378493578549581e-05,0.000234380364418,0,,,,0.0,0.0,2023,4,-0.081317145741687,,-0.4992099532391876,,0.0013666467866021,,0.0007553158793598,,0.0826837925282892,,0.4999652691185474,,0.0840504338534978,,0.5007205650763353,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-01-30,0.0006172408462135,0.8330609574913979,0.1663218077900694,4,-0.1657045669438559,0.1669390425086021,0,,,,0.0,0.0,2023,5,4.378493578549581e-05,-0.081317145741687,,-0.4992099532391876,0.0001391068733642,0.0013666467866021,,0.0007553158793598,9.532193757877394e-05,0.0826837925282892,,0.4999652691185474,0.000234380364418,0.0840504338534978,,0.5007205650763353,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-02-06,0.1173400331383234,0.8772080903872848,0.0054519147097759,8,0.1118881184285475,0.1227919096127152,0,,,,0.0,0.0,2023,6,-0.1657045669438559,4.378493578549581e-05,-0.081317145741687,,0.0006172408462135,0.0001391068733642,0.0013666467866021,,0.1663218077900694,9.532193757877394e-05,0.0826837925282892,,0.1669390425086021,0.000234380364418,0.0840504338534978,,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-02-13,9.048217179952188e-07,0.9999898672103882,9.156337000604252e-06,1,-8.251515282609034e-06,1.0132789611816406e-05,0,,,,0.0,0.0,2023,7,0.1118881184285475,-0.1657045669438559,4.378493578549581e-05,-0.081317145741687,0.1173400331383234,0.0006172408462135,0.0001391068733642,0.0013666467866021,0.0054519147097759,0.1663218077900694,9.532193757877394e-05,0.0826837925282892,0.1227919096127152,0.1669390425086021,0.000234380364418,0.0840504338534978,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-02-20,1.6051180864451453e-05,0.074512168765068,0.925471842288971,1,-0.9254557911081064,0.925487831234932,0,,,,0.0,0.0,2023,8,-8.251515282609034e-06,0.1118881184285475,-0.1657045669438559,4.378493578549581e-05,9.048217179952188e-07,0.1173400331383234,0.0006172408462135,0.0001391068733642,9.156337000604252e-06,0.0054519147097759,0.1663218077900694,9.532193757877394e-05,1.0132789611816406e-05,0.1227919096127152,0.1669390425086021,0.000234380364418,1.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-02-27,,,,0,,,0,,,,0.0,0.0,2023,9,-0.9254557911081064,-8.251515282609034e-06,0.1118881184285475,-0.1657045669438559,1.6051180864451453e-05,9.048217179952188e-07,0.1173400331383234,0.0006172408462135,0.925471842288971,9.156337000604252e-06,0.0054519147097759,0.1663218077900694,0.925487831234932,1.0132789611816406e-05,0.1227919096127152,0.1669390425086021,1.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-03-06,0.0492411347713195,0.849204991099726,0.1015539254645669,4,-0.0523127906932474,0.1507950089002739,0,,,,0.0,0.0,2023,10,,-0.9254557911081064,-8.251515282609034e-06,0.1118881184285475,,1.6051180864451453e-05,9.048217179952188e-07,0.1173400331383234,,0.925471842288971,9.156337000604252e-06,0.0054519147097759,,0.925487831234932,1.0132789611816406e-05,0.1227919096127152,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-03-13,1.3883271094528029e-05,0.3072264790534973,0.69275963306427,1,-0.6927457497931755,0.6927735209465027,0,,,,0.0,0.0,2023,11,-0.0523127906932474,,-0.9254557911081064,-8.251515282609034e-06,0.0492411347713195,,1.6051180864451453e-05,9.048217179952188e-07,0.1015539254645669,,0.925471842288971,9.156337000604252e-06,0.1507950089002739,,0.925487831234932,1.0132789611816406e-05,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-03-20,0.0001230630727614,0.8372147262096404,0.162662198315877,3,-0.1625391352431156,0.1627852737903595,0,,,,0.0,0.0,2023,12,-0.6927457497931755,-0.0523127906932474,,-0.9254557911081064,1.3883271094528029e-05,0.0492411347713195,,1.6051180864451453e-05,0.69275963306427,0.1015539254645669,,0.925471842288971,0.6927735209465027,0.1507950089002739,,0.925487831234932,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-03-27,0.0001143395993015,0.9940706342458724,0.0058150183259684,1,-0.0057006787266669,0.0059293657541275,0,,,,0.0,0.0,2023,13,-0.1625391352431156,-0.6927457497931755,-0.0523127906932474,,0.0001230630727614,1.3883271094528029e-05,0.0492411347713195,,0.162662198315877,0.69275963306427,0.1015539254645669,,0.1627852737903595,0.6927735209465027,0.1507950089002739,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
adidas,2023-04-03,3.30406393800331e-07,0.9999906420707704,8.975448622550175e-06,2,-8.645042228749844e-06,9.357929229736328e-06,0,,,,0.0,0.0,2023,14,-0.0057006787266669,-0.1625391352431156,-0.6927457497931755,-0.0523127906932474,0.0001143395993015,0.0001230630727614,1.3883271094528029e-05,0.0492411347713195,0.0058150183259684,0.162662198315877,0.69275963306427,0.1015539254645669,0.0059293657541275,0.1627852737903595,0.6927735209465027,0.1507950089002739,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0
